codigo_municipio,nome_municipio,uf,qtd_inscritos,qtd_treineiros,indice_vulnerabilidade_medio,pct_sem_computador,pct_sem_internet,pct_escola_publica,pct_sem_renda_familiar,pct_pais_baixa_escolaridade,pct_baixa_vulnerabilidade,pct_media_vulnerabilidade,pct_alta_vulnerabilidade,nota_media_cn,nota_media_ch,nota_media_lc,nota_media_mt,nota_media_redacao,nota_media_geral,n_efetivo_nota,taxa_ausencia_pct,pct_treineiros,peso_estatistico,regiao
2102804,Carolina,MA,635,136,2.3165354330708663,71.96850393700788,15.433070866141732,95.90551181102363,14.173228346456693,34.17322834645669,23.937007874015748,62.047244094488185,14.015748031496065,470.62219730941706,490.3569506726458,506.9511210762332,466.2466367713005,552.286995515695,497.2927802690583,446,29.763779527559052,21.41732283464567,446,Nordeste
2102903,Carutapera,MA,1495,377,2.7438127090301005,84.94983277591973,26.02006688963211,97.79264214046822,27.759197324414714,37.85953177257525,11.705685618729097,63.1438127090301,25.150501672240804,454.92834951456314,462.8916504854369,484.886213592233,437.11320388349515,481.8252427184466,464.3289320388349,1030,31.103678929765888,25.217391304347824,1030,Nordeste
2103000,Caxias,MA,6792,1455,2.318168433451119,73.51295641931685,15.856890459363957,87.94169611307422,18.772084805653712,35.73321554770318,23.895759717314487,60.21790341578327,15.886336866902237,474.24056448290077,483.32935723114963,502.7519365471776,466.20945611866506,547.3959620931191,494.7854552946024,4854,28.533568904593643,21.42226148409894,4854,Nordeste
2103208,Chapadinha,MA,3069,955,2.636689475399153,80.64516129032258,30.270446399478658,84.13163897034865,30.433365917236888,38.18833496252851,19.843597262952102,52.85109156076898,27.305311176278916,461.36218971631206,469.6121453900709,485.77907801418445,452.24352836879433,539.4592198581561,481.69123226950353,2256,26.49071358748778,31.117627891821442,2256,Nordeste
2103307,Codó,MA,3799,854,2.544617004474862,78.65227691497762,20.0842326928139,90.57646749144511,23.92734930244801,41.221374045801525,18.45222426954462,60.51592524348513,21.031850486970256,462.67846095812905,472.6691814409657,493.8384383251603,452.0069407770652,522.5348924933987,480.7455827989438,2651,30.21847854698605,22.479599894709136,2651,Nordeste
2103406,Coelho Neto,MA,2302,509,2.7380538662033014,84.0139009556907,25.36924413553432,94.5264986967854,26.585577758470897,43.31016507384883,14.031277150304083,59.860990443092966,26.107732406602953,454.89867591424974,465.629129886507,481.1827868852459,444.8300126103405,509.4199243379571,471.19210592686005,1586,31.103388357949612,22.111207645525628,1586,Nordeste
2103505,Colinas,MA,1727,527,2.6218876664736537,81.58656629994209,28.372900984365952,88.01389693109438,27.041111754487552,37.17429067747539,18.645049218297626,56.57209033005211,24.78286045165026,452.65826446280994,462.53123966942155,483.51198347107436,450.4809090909091,510.3471074380165,471.90590082644627,1210,29.93630573248408,30.515344528083382,1210,Nordeste
2103604,Coroatá,MA,1825,560,2.646027397260274,83.34246575342465,27.013698630136986,85.64383561643835,27.72602739726027,40.87671232876712,17.315068493150683,57.31506849315069,25.36986301369863,460.2540185471406,467.91429675425036,490.6982998454405,456.35177743431217,557.5425038639877,486.5521792890263,1294,29.0958904109589,30.684931506849317,1294,Nordeste
2103703,Cururupu,MA,831,199,2.9398315282791816,88.08664259927798,37.545126353790614,94.94584837545126,31.046931407942242,42.35860409145607,10.108303249097473,57.52105896510229,32.37063778580024,454.5188191881919,469.5551660516605,489.0282287822878,444.79630996309965,496.0516605166052,470.79003690036905,542,34.777376654632974,23.94705174488568,542,Nordeste
2103802,Dom Pedro,MA,1804,615,2.492239467849224,80.98669623059867,18.569844789356985,89.13525498891353,21.286031042128602,39.24611973392461,18.403547671840354,62.6940133037694,18.902439024390244,469.41710231516055,485.2894697535474,502.79327856609405,478.45063480209114,573.2636295743092,501.8428230022405,1339,25.77605321507761,34.090909090909086,1339,Nordeste
2104008,Esperantinópolis,MA,1104,351,2.6458333333333335,81.88405797101449,22.463768115942027,98.27898550724638,25.905797101449274,36.05072463768116,14.402173913043478,64.40217391304348,21.195652173913043,462.28674388674386,467.2476190476191,489.7934362934363,458.55444015444016,503.91248391248394,476.35894465894467,777,29.619565217391308,31.793478260869566,777,Nordeste
2104057,Estreito,MA,1063,346,2.248353715898401,71.11947318908749,14.675446848541862,94.54374412041392,14.205079962370649,30.291627469426153,25.211665098777047,61.71213546566322,13.076199435559738,468.48900949796473,468.3839891451832,494.4729986431479,463.4333785617368,523.1750339213025,483.590881953867,737,30.667920978363128,32.54938852304798,737,Nordeste
2104081,Fernando Falcão,MA,47,15,3.382978723404255,89.36170212765957,42.5531914893617,93.61702127659575,51.06382978723404,61.702127659574465,8.51063829787234,34.04255319148936,57.446808510638306,434.5548387096774,464.9,464.01612903225805,432.42903225806447,487.0967741935484,456.5993548387097,31,34.04255319148937,31.914893617021278,31,Nordeste
2104099,Formosa da Serra Negra,MA,978,359,2.7862985685071573,83.33333333333334,23.619631901840492,96.7280163599182,26.68711656441718,48.261758691206545,13.803680981595093,59.20245398773007,26.993865030674847,446.8085271317829,453.82351421188633,465.25633074935405,440.77713178294573,519.5090439276486,465.2349095607235,774,20.858895705521473,36.70756646216769,774,Nordeste
2104677,Governador Nunes Freire,MA,639,169,2.7136150234741785,82.15962441314554,30.51643192488263,93.27073552425665,25.19561815336463,40.21909233176839,14.241001564945227,60.093896713615024,25.665101721439747,455.9641826923077,455.26850961538463,476.41466346153845,442.75697115384617,512.5,468.58086538461544,416,34.8982785602504,26.447574334898277,416,Nordeste
